code;libelle;etat;insee_commune;nom_commune;mo_raison_sociale;x;y;precision_coord;categorie;puissance_maximum;productible_moyen;debit;coef_energetique;nb_turbines;type_turbine;titre;date_echeance_titre;hauteur_de_chute
9004001;Centrale d'Albies;EXPL;9004;Albiès                                            ;IMERYS  TALC  LUZENAC  FRANCE;593335;6187410;0;Ouvrage fonctionnant au fil de l'eau;1,888;3127132;;;;;Autorisée;04/08/2024;10,69
9014001;MOULIN DE ROQUES;EXPL;9014;Argein                                            ;SARL DU MOULIN DE ROQUES;535762;6205450;0;Ouvrage fonctionnant au fil de l'eau;0,13;228122;;;;;;;4,7
9015001;Centrale d'Arignac;EXPL;9015;Arignac                                           ;COMMUNE D'ARIGNAC;585909;6197060;0;Ouvrage fonctionnant au fil de l'eau;;346776;;;;;;;13,6
9015002;Moulin de la Calviere;EXPL;9015;Arignac                                           ;SNC CALVIERE;585010;6198010;0;Ouvrage fonctionnant au fil de l'eau;;531075;;;;;;;12
9018001;ARROUT;EXPL;9018;Arrout                                            ;SOC HYDRAULIQUE ETUDES MISSIONS ASSIST;539348;6206780;0;Ouvrage fonctionnant au fil de l'eau;0,8;2675187;6,6;0,041;2;Francis;Autorisée;16/10/1994;19,5
9024001;LAPARAN;EXPL;9024;Aston                                             ;ELECTRICITE DE FRANCE;590524;6179330;0;Ouvrage de type Lac;43,8;90662000;11,7;0,983;1;Francis;Concédée;31/12/2058;442
9024002;ASTON;EXPL;9024;Aston                                             ;ELECTRICITE DE FRANCE;591625;6187260;0;Ouvrage fonctionnant par éclusées;105,9;310564992;24,2;1,16;4;Pelton;Concédée;31/12/2023;519,8
9026001;SCIERIE DUPUY;EXPL;9026;Audressein                                        ;EURL MICROENERGIE;538565;6205540;0;Ouvrage fonctionnant au fil de l'eau;0,1;;6;;1;;Autorisée;07/05/2031;1,8
9030001;SOULCEM;EXPL;9030;Auzat                                             ;ELECTRICITE DE FRANCE;570972;6180270;0;Ouvrage de type Lac;26,2;46515200;7;0,9;1;Francis;Concédée;31/12/2060;410,6
9030002;BASSIES;EXPL;9030;Auzat                                             ;ELECTRICITE DE FRANCE;573359;6184240;0;Ouvrage de type Lac;3;14871933;0,8;0,955;1;Pelton;Concédée;16/10/1994;439
9030003;PRADIERES Basse Chute;EXPL;9030;Auzat                                             ;ELECTRICITE DE FRANCE;576195;6180610;0;Ouvrage de type Lac;10;18570532;3,4;0,994;1;Pelton;Concédée;31/12/2006;458,4
9030004;AUZAT;EXPL;9030;Auzat                                             ;ELECTRICITE DE FRANCE;575280;6185840;0;Ouvrage fonctionnant au fil de l'eau;52,2;158036928;16,3;0,913;2;Francis double;Concédée;16/10/1994;415,1
9030005;PRADIERES Haute Chute;EXPL;9030;Auzat                                             ;ELECTRICITE DE FRANCE;576209;6180610;0;Ouvrage de type Lac;23,3;51718200;5,1;1,4;2;Pelton;Concédée;31/12/2047;648,8
9032001;LE TEICH;EXPL;9032;Ax-les-Thermes                                    ;ELECTRICITE DE FRANCE;604979;6180570;0;Ouvrage fonctionnant par éclusées;6,1;22323800;9;0,21;1;Francis;Concédée;31/12/2017;93,8
9041001;Centrale de Labastide;EXPL;9041;La Bastide-du-Salat                               ;COMPAGNIE PYRENEENNE HYDROELECTRIQUE;535692;6219460;0;Ouvrage fonctionnant au fil de l'eau;0,968;2431058;33;;;;Autorisée;27/07/2008;2,99
9045001;LES ESPINASSIERES;EXPL;9045;Bédeilhac-et-Aynat                                ;DU SAURAT;582326;6198500;0;Ouvrage fonctionnant au fil de l'eau;0,178;521973;;;;;;;
9047001;BELOT;EXPL;9047;Bélesta                                           ;SARL HERREROS HYDROELECTRICITE;612857;6200880;0;Ouvrage fonctionnant au fil de l'eau;0,188;261373;;;;;;;5,5
9047002;LA FORGE;EXPL;9047;Bélesta                                           ;S.A.R.L. LA FORGE;612583;6200700;0;Ouvrage fonctionnant au fil de l'eau;0,11;221270;;;;;;;6
9049001;CENTRALE DE GAYNES;EXPL;9049;Bénac                                             ;DH ENERGIES;580106;6208350;0;Ouvrage fonctionnant au fil de l'eau;0,103;26778;;;;;;;
