Code;Nom;Type-de-retenue;Région;Département;Commune;Rivière;Date-construction;Lat;Lon;Lat. barrage;Long. Barrage;Lat. retenue;Long. Retenue;hauteur (m);Volume_Mm3;superficie_ha;Sbassin amont (km²);altitude_mNGF;Maitre-ouvrage_exploitant;Usages
1;Adret des Tuffes;;Auvergne-Rhône-Alpes;Savoie;Bourg-Saint-Maurice;Plan Vert et Torrent de l'Arc;2007;45,5661;6,82;;;;;17,5;0,406;4,55;112,7;2216,5;Société de Montagnes de l'Arc;Loisirs
2;Age;"retenue ""linéaire"" - vallée de rivière";Nouvelle Aquitaine;Creuse;Celle-Dunoise;Creuse;1982;46,3022;1,80639;46,30275;1,804533;46,301186;1,806781;19,5;2,3;38;1120;255;EDF;hydroélectricité
3;Agly;"retenue ""linéaire"" - vallée de rivière";Occitanie;Pyrénées-Orientales;Cassagnes;L'Agly;1995;42,7461;2,58972;42,744301;2,587291;42,744674;2,592097;57;25,8;178;408;184;Conseil Départemental Des Pyrénées-orientales / Brl Exploitation;Irrigation/Crues/Alimentation en eau
4;Aigle;"retenue ""linéaire"" - vallée de rivière";Nouvelle Aquitaine;Corrèze;Soursac;Dordogne;1947;45,2436;2,22472;45,243727;2,224883;45,245336;2,226503;84;220;750;3270;343;EDF;hydroélectricité
5;Albert;"retenue ""linéaire"" - vallée de rivière";Pays-de-la-Loire;Vendée;Foussais-Payré;La Vendée;1964;46,4924;-0,725194;46,492401;-0,724769;46,491344;-0,724254;10,1;2,85;104;185;48,4;Syndicat Intercommunal Pour L'utilisation Des Eaux De La Foret De Mervent/saur;Alimentation en eau, Crues, Hydroélectricité, Activité touristique
6;Alésani;"Retenue ""classique""";Corse;Haute-Corse;Chiatra;Alesani;1970;42,2983;9,485;42,29866;9,485017;42,298842;9,481465;65;11,3;49;56;165;?;Irrigation/Alimentation en eau/Hydroélectricité
7;Alfeld;;Grand-Est;Haut-Rhin;Sewen;Seebach Et Doller;?;47,8172;6,87306;;;;;23;0,8;8,2;4,23;620,7;?;Alimentation en eau, loisirs
8;Allement;"retenue ""linéaire"" - vallée de rivière";Auvergne-Rhône-Alpes;Ain;Poncin;L'Ain;1960;46,1122;5,42194;46,112172;5,422148;46,113496;5,422427;35;19;225;2650;270;EDF;Hydroélectricité
9;Altenweiher;;Grand-Est;Haut-Rhin;Metzeral;Altenweiherbach;?;48,0106;6,99722;;;;;15;0,673;7,7;1,2;926;Conseil Départemental du Haut-Rhin;Loisirs / alimentation en eau
10;Alzitone;"Retenue ""classique""";Corse;Haute-Corse;Aghione;Pedocchino;1965;42,069;9,42813;42,069389;9,428435;42,070074;9,424874;32,3;5,6;49;2,5;62,5;?;Irrigation/Alimentation en eau/Hydroélectricité
