Code;Nom;Type-de-retenue;Région;Département;Commune;Rivière;Date-construction;Lat;Lon;Lat. barrage;Long. Barrage;Lat. retenue;Long. Retenue;hauteur (m);Volume_Mm3;superficie_ha;Sbassin amont (km²);altitude_mNGF;Maitre-ouvrage_exploitant;Usages
2;Age;"retenue ""linéaire"" - vallée de rivière";Nouvelle Aquitaine;Creuse;Celle-Dunoise;Creuse;1982;46,3022;1,80639;46,30275;1,804533;46,301186;1,806781;19,5;2,3;38;1120;255;EDF;hydroélectricité
3;Agly;"retenue ""linéaire"" - vallée de rivière";Occitanie;Pyrénées-Orientales;Cassagnes;L'Agly;1995;42,7461;2,58972;42,744301;2,587291;42,744674;2,592097;57;25,8;178;408;184;Conseil Départemental Des Pyrénées-orientales / Brl Exploitation;Irrigation/Crues/Alimentation en eau
4;Aigle;"retenue ""linéaire"" - vallée de rivière";Nouvelle Aquitaine;Corrèze;Soursac;Dordogne;1947;45,2436;2,22472;45,243727;2,224883;45,245336;2,226503;84;220;750;3270;343;EDF;hydroélectricité
13;Araing;à déterminer;Occitanie;Ariège;Sentein;Izard;1942;42,8333;0,878056;42,833653;0,877839;42,83208;0,875114;25;6,7;33;2,9;1900;Asa De Sainte Foy De Peyrolieres;Irrigation
14;Argentat;"retenue ""linéaire"" - vallée de rivière";Nouvelle Aquitaine;Corrèze;Argentat;Dordogne;1957;45,1039;1,95389;45,104171;1,954047;45,105769;1,955742;31;7,2;106;4418;190;?;Hydroélectricité
17;Arrêt-Darré;"Retenue ""classique""";Occitanie;Hautes-Pyrénées;Gonez;Arrêt-darré;1996;43,2333;0,200278;43,233271;0,200796;43,231223;0,198564;27;10,8;110;57,2;272;Gestion CACG;Hydroélectricité
18;Arriou;à déterminer;Nouvelle Aquitaine;Pyrénées-Atlantiques;Arzacq-Arraziguet;Arriou;2007;43,5346;-0,419139;43,531988;-0,425915;43,533886;-0,417782;15;0,64;14;1,7;205;?;Irrigation
19;Artouste;"Retenue ""classique""";Nouvelle Aquitaine;Pyrénées-Atlantiques;Laruns;Sousseau;1929;42,8628;-0,333056;42,861754;-0,335287;42,860928;-0,333968;25;10;56;7,7;1968;?;Hydroélectricité
21;Astarac;"Retenue ""classique""";Occitanie;Gers;Bézues-Bajon;Arrats;1976;43,3894;0,635833;43,38997;0,636219;43,385853;0,634803;16,2;10;180;50;244;Gestion CACG / Conseil Départemental Des Pyrénées-orientales;Irrigation/Loisirs
22;Aubert;"Retenue ""classique""";Occitanie;Hautes-Pyrénées;Saint-Lary-Soulan;Aubert;1932;42,8386;0,141389;42,838688;0,141393;42,842102;0,140234;17;5,08;45;?;2150;EDF;Hydroélectricité
